gene_name,17DPi_FPKM,18DPi_FPKM,AC_FPKM,D22_FPKM,NEW_FPKM,gene_id
Olfr1008,0,0,0,0,0,ENSMUSG00000050603
Cps1,0,0,0,0,0.1581665,ENSMUSG00000025991
Slc40a1,0.043844014,0.125798195,0.205140836,0.061447984,0.081648072,ENSMUSG00000025993
Wdr75,4.651221175,5.461439412,4.58203374,5.692725667,5.943396846,ENSMUSG00000025995
Ikzf2,0.677617188,1.184133807,0.879483032,1.056444265,0.489657079,ENSMUSG00000025997
Ttyh2,23.46506171,25.16247108,12.7901528,27.46956679,1.634164024,ENSMUSG00000034714
Sptb,0,0.096764069,1.689418239,0.126049974,5.036687981,ENSMUSG00000021061
1700039I01Rik,0,0,0,0,0.333584954,ENSMUSG00000102536
Ighv1-41,0,0,0,0,0,ENSMUSG00000102535
Rab15,0.052703914,0.170118152,0.013702438,0.138500788,12.16586667,ENSMUSG00000021062
Fut8,9.489583977,7.229118928,9.290397717,8.84626917,13.01631673,ENSMUSG00000021065
Gm37227,0,0,0,0,0,ENSMUSG00000102532
1110002O04Rik,0,0,0,0,0,ENSMUSG00000102531
Gm37228,0,0,0,0,0,ENSMUSG00000102530
Pygl,0.978052491,3.770822794,3.406617341,3.820959524,0.662307443,ENSMUSG00000021069
Nin,2.736371063,2.553533009,1.509917073,2.982292427,7.676030373,ENSMUSG00000021068
Gm37229,0,0,0,0,0,ENSMUSG00000102539
Gm37230,0,0.206876064,0,0.101007886,0,ENSMUSG00000102538
Sirt4,1.36135252,2.178784443,3.520895228,1.735037338,1.279088184,ENSMUSG00000029524
2810474O19Rik,0.966184006,1.582710719,1.995224162,1.475939002,0.261481415,ENSMUSG00000032712
1700123K08Rik,0,0,0,0,0.029717405,ENSMUSG00000029526
Mdfi,0.181641888,0.450995758,1.249336915,0.396531745,0.141926838,ENSMUSG00000032717
Chek2,2.303502347,2.345989659,2.669228965,2.125541592,2.196903216,ENSMUSG00000029521
Trib3,2.133990353,4.19162686,0.464380655,1.799716765,4.436075856,ENSMUSG00000032715
Syde1,15.47359115,21.30607296,24.5177573,14.42963797,1.99201016,ENSMUSG00000032714
Sbspon,0,0,0,0,0.029057739,ENSMUSG00000032719
Mansc1,2.051933372,3.916993267,7.19176942,4.62678302,0,ENSMUSG00000032718
Pxn,3.638617147,5.105629576,6.194831499,3.789409409,2.316353258,ENSMUSG00000029528
Slc14a2,0.232921324,0.200478641,0.072642581,0.171391381,1.230283377,ENSMUSG00000024552
Gm42987,0.033476458,0.035987666,0.208753104,0.105512937,0.033979007,ENSMUSG00000106178
Vwc2l,0,0,0,0,0.516481821,ENSMUSG00000045648
Prss21,0,0,0,0,0,ENSMUSG00000024116
Phldb3,0,0,0.343362954,0.102096431,0,ENSMUSG00000074277
Prss41,0,0.048280919,0.069969002,0.02357331,0,ENSMUSG00000024114
Ceacam1,0,0,0.066057469,0.02504347,0,ENSMUSG00000074272
Simc1,1.885091645,2.70046413,3.819154969,2.9325942,5.777217439,ENSMUSG00000043183
1600002H07Rik,1.33153607,1.223387107,1.29110099,1.258085918,2.036371021,ENSMUSG00000024118
Traf4,6.791454353,4.926931349,7.286414287,8.211951055,16.53115996,ENSMUSG00000017386
Serpinb3a,0,0,0,0,0,ENSMUSG00000044594
Dnd1,0.122435561,0.148203483,0.063646847,0.064356151,0.124362991,ENSMUSG00000044595
Mycs,0,0,0,0,0,ENSMUSG00000044597
BC049702,0,0,0,0,0,ENSMUSG00000068149
Ubash3a,0,0,0,0,0,ENSMUSG00000042345
Ctf1,1.62855469,1.168135852,6.289155944,1.902014096,0.105025813,ENSMUSG00000042340
Ikbke,4.183444535,5.808581702,3.445175038,4.146065952,0.033722276,ENSMUSG00000042349
Arl15,4.862129967,5.23133302,5.152462989,4.865005048,34.68983252,ENSMUSG00000042348
RP24-178G20.1,0,0,0,0,0,ENSMUSG00000108407
Klk1b14-ps,0,0,0,0,0,ENSMUSG00000108400
B3galt5,0.250278797,0.187002376,0.252988731,0.314229177,0.522559146,ENSMUSG00000074892
Lcmt2,1.895392628,1.011361801,2.114871082,1.311997655,2.363522774,ENSMUSG00000074890
Ifit3,42.81012094,139.443448,98.39194363,60.44083059,0,ENSMUSG00000074896
Eif4e1b,0,0,0,0,0,ENSMUSG00000074895
Sptbn5,0.00764377,0.049327037,0.142987009,0.008028027,0,ENSMUSG00000074899
Ighv7-3,0,0,0,0,0,ENSMUSG00000076652
Ighv7-2,0,0,0,0,0,ENSMUSG00000076653
Prkaca,54.01256197,42.17421279,70.02823245,43.68915539,69.59839146,ENSMUSG00000005469
Fam133b,2.871649876,3.702680997,1.865071102,3.41500805,4.246308081,ENSMUSG00000058503
Ddx39,4.121459523,3.512284507,1.074571351,4.080476788,7.182165736,ENSMUSG00000005481
Pcgf5,8.010466291,6.782792444,7.540167493,6.476962661,4.044262049,ENSMUSG00000024805
Dnajb1,20.39724772,18.54392304,15.78819564,20.08875048,25.20122666,ENSMUSG00000005483
Syvn1,1.899160424,2.49230143,3.373277058,2.328981308,3.025162355,ENSMUSG00000024807
Rpp30,15.11435892,17.65385632,15.99790249,18.46347464,19.84755336,ENSMUSG00000024800
Ankrd1,0,0,0,0,0.090530987,ENSMUSG00000024803
Il27ra,0.059190244,0.28658995,0.153855343,0.124449342,0,ENSMUSG00000005465
Prss34,0,0,0,0,0,ENSMUSG00000056399
Gm10065,0,0,0,0,0,ENSMUSG00000059459
Ptk2b,1.798959879,4.748298174,4.084095507,5.056679239,1.149768429,ENSMUSG00000059456
Plac8l1,0,0,0,0,0,ENSMUSG00000059455
1700112K13Rik,0,0,0,0,0,ENSMUSG00000087510
Gm13236,0,0,0,0,0,ENSMUSG00000087513
Gm11985,0,0.235034195,0,0,0,ENSMUSG00000087512
Gm13554,0,0,0,0,0,ENSMUSG00000087515
Gm16076,0,0,0,0,0,ENSMUSG00000087514
4930577H14Rik,0,0,0,0,0,ENSMUSG00000087517
Tbx3os1,0,0,0,0.035042592,0,ENSMUSG00000087516
AV039307,0.437759143,1.027596289,0.206879376,0.167339019,0.323368952,ENSMUSG00000087519
Gm13561,0,0,0,0,0,ENSMUSG00000087518
Gm22,0.702097172,0.782891659,0.411450979,0.536722202,0.09076727,ENSMUSG00000043903
Hist1h1e,2.523023712,0.791771226,0.874378343,2.210087444,0,ENSMUSG00000051627
Ranbp1,22.32621166,23.19914687,17.35185542,24.20428092,57.61699694,ENSMUSG00000005732
Tap1,3.509494856,5.303682043,3.286793481,5.730522642,0.46940868,ENSMUSG00000037321
9130019O22Rik,0.786479742,0.8852476,1.107065772,0.7122287,0.848026974,ENSMUSG00000030823
Prr14,3.972417633,3.866541361,4.216663419,4.330899611,2.449154816,ENSMUSG00000030822
RP24-475M20.2,0.648116839,0.077445985,0,0.302803939,0.07312332,ENSMUSG00000108118
Fgf21,0,0,0,0,0,ENSMUSG00000030827
Bcat2,4.937448127,3.895742519,3.188219864,5.335588372,2.815572687,ENSMUSG00000030826
Hsd17b14,0.16575583,0,0,0.024879389,0,ENSMUSG00000030825
Nucb1,19.97629715,21.01035192,31.14900631,25.32379703,9.139312873,ENSMUSG00000030824
Usp45,2.381720009,2.819526016,2.657519609,3.005553811,2.347126211,ENSMUSG00000040455
Hypm,0,0,0,0,0,ENSMUSG00000040456
Sgms1,1.55316659,2.067810314,1.840078643,1.855427729,0.884787283,ENSMUSG00000040451
Cdh12,0,0,0,0,2.436324856,ENSMUSG00000040452
Atp6v1f,87.6604197,87.39240117,63.684341,73.48076566,58.68477521,ENSMUSG00000004285
Arglu1,30.05702626,28.03740515,41.23787844,30.24124025,41.36103211,ENSMUSG00000040459
Vmn1r-ps1,0,0,0,0,0,ENSMUSG00000082353
Gpr1,0,0,0,0,0,ENSMUSG00000046856
Pip5kl1,0,0,0.10906981,0,0.575391944,ENSMUSG00000046854
RP24-457L7.3,0.119016151,0.127944048,0.371015663,0.124999169,0.120802823,ENSMUSG00000108111
Pfkfb2,2.243797577,1.620479963,1.938778321,1.653125096,2.018973648,ENSMUSG00000026409
Cacna1s,0,0,0.00834706,0.016875671,0.040761375,ENSMUSG00000026407
Ddx59,1.761200909,1.794128849,4.480484842,2.028496639,2.892758489,ENSMUSG00000026404
C4bp,0,0,0,0,0,ENSMUSG00000026405
Olfr1459,0,0,0,0,0,ENSMUSG00000057503
Cd55b,0,0,0,0,0,ENSMUSG00000026401
Tcea1,14.30831624,17.95137268,21.89431286,16.56017863,31.21871118,ENSMUSG00000033813
Gm13271,0,0,0,0,0,ENSMUSG00000094618
Trav14d-3-dv8,0,0,0,0,0,ENSMUSG00000094619
Olfr491,0,0,0,0,0,ENSMUSG00000094612
A630076J17Rik,0,0,0,0,0,ENSMUSG00000094613
Gm20888,0,0,0,0,0,ENSMUSG00000094616
Dnajb7,0.400636907,0,0.059516847,0.180462446,0,ENSMUSG00000047108
